timestamp,author,message
2026-09-20 09:02,민지,안녕하세요! 이번 주 스터디 모임 언제 하나요?
2026-09-20 09:15,준호,저도 궁금해요. 공지가 안 올라온 것 같아요
2026-09-20 09:40,서연,토요일 오후가 좋을 것 같아요
2026-09-20 10:05,태윤,저는 일요일만 돼요 ㅠㅠ
2026-09-20 11:30,민지,방장님 확인 부탁드려요~
2026-09-20 13:12,하늘,새로 들어왔어요! 반갑습니다 🙌
2026-09-20 13:14,서연,하늘님 환영해요!
2026-09-20 13:20,하늘,혹시 자료는 어디서 볼 수 있나요?
2026-09-20 15:45,지훈,[광고] 부업으로 월 300 버는 법 → bit.ly/xxxx
2026-09-20 15:47,준호,광고 또 올라왔네요... 신고합니다
2026-09-20 15:50,서연,지난주에도 같은 사람이 올렸어요
2026-09-21 08:30,태윤,어제 공유된 파이썬 강의 링크 만료됐어요
2026-09-21 08:45,민지,저도 안 열려요
2026-09-21 10:10,준호,다음 주제로 데이터 분석 어때요? 판다스 같이 해보고 싶어요
2026-09-21 10:12,서연,좋아요! 저도 찬성
2026-09-21 10:20,태윤,찬성합니다
2026-09-21 10:25,하늘,저도요 ㅎㅎ
2026-09-21 14:00,도현,솔직히 요즘 방이 좀 산만한 것 같아요. 잡담이 너무 많아서 공지를 놓쳐요
2026-09-21 14:05,민지,공지 채널 따로 있으면 좋겠어요
2026-09-21 14:10,도현,네 그리고 규칙도 한번 정리해주시면 좋겠네요
2026-09-22 09:00,서연,어제 제가 판다스 기초 정리한 노션 페이지 공유해요! notion.so/xxxx
2026-09-22 09:05,준호,서연님 감사합니다 최고예요 👍
2026-09-22 09:06,하늘,와 이거 너무 도움 돼요
2026-09-22 11:00,태윤,일요일 모임은 결국 안 되는 건가요?
2026-09-22 18:30,지훈,[광고] 코인 리딩방 무료 입장 → open.kakao.com/xxxx
2026-09-22 18:35,도현,이 분 강퇴 안 되나요?
2026-09-23 10:00,민지,아직 스터디 날짜 공지 없네요 😢
2026-09-23 10:30,하늘,자료 위치 아직 못 찾았어요 ㅠ
